class,threshold,tp,fp,fn,precision,recall,f1,jaccard,fp_per_image,fn_per_image
Squamous Epithelial Cell,0.15000000596046448,204,45,0,0.8192771084337349,1.0,0.9006622516556291,0.8192771084337349,0.8490566037735849,0.0
Squamous Epithelial Cell,0.1599999964237213,204,41,0,0.8326530612244898,1.0,0.9086859688195991,0.8326530612244898,0.7735849056603774,0.0
Squamous Epithelial Cell,0.17000000178813934,204,37,0,0.8464730290456431,1.0,0.9168539325842696,0.8464730290456431,0.6981132075471698,0.0
Squamous Epithelial Cell,0.18000000715255737,204,33,0,0.8607594936708861,1.0,0.9251700680272108,0.8607594936708861,0.6226415094339622,0.0
Squamous Epithelial Cell,0.1899999976158142,202,31,2,0.8669527896995708,0.9901960784313726,0.9244851258581235,0.8595744680851064,0.5849056603773585,0.03773584905660377
Squamous Epithelial Cell,0.20000000298023224,202,29,2,0.8744588744588745,0.9901960784313726,0.9287356321839081,0.8669527896995708,0.5471698113207547,0.03773584905660377
Squamous Epithelial Cell,0.20999999344348907,201,26,3,0.8854625550660793,0.9852941176470589,0.9327146171693735,0.8739130434782608,0.49056603773584906,0.05660377358490566
Squamous Epithelial Cell,0.2199999988079071,201,23,3,0.8973214285714286,0.9852941176470589,0.9392523364485982,0.8854625550660793,0.4339622641509434,0.05660377358490566
Squamous Epithelial Cell,0.23000000417232513,201,20,3,0.9095022624434389,0.9852941176470589,0.9458823529411765,0.8973214285714286,0.37735849056603776,0.05660377358490566
Squamous Epithelial Cell,0.23999999463558197,201,17,3,0.9220183486238532,0.9852941176470589,0.95260663507109,0.9095022624434389,0.32075471698113206,0.05660377358490566
Squamous Epithelial Cell,0.25,201,15,3,0.9305555555555556,0.9852941176470589,0.9571428571428572,0.9178082191780822,0.2830188679245283,0.05660377358490566
Squamous Epithelial Cell,0.25999999046325684,201,14,3,0.9348837209302325,0.9852941176470589,0.9594272076372315,0.9220183486238532,0.2641509433962264,0.05660377358490566
Squamous Epithelial Cell,0.27000001072883606,201,14,3,0.9348837209302325,0.9852941176470589,0.9594272076372315,0.9220183486238532,0.2641509433962264,0.05660377358490566
Squamous Epithelial Cell,0.2800000011920929,201,12,3,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265,0.05660377358490566
Squamous Epithelial Cell,0.28999999165534973,201,12,3,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265,0.05660377358490566
Squamous Epithelial Cell,0.30000001192092896,201,12,3,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265,0.05660377358490566
Squamous Epithelial Cell,0.30000001192092896,201,12,3,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265,0.05660377358490566
Squamous Epithelial Cell,0.3100000023841858,201,12,3,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265,0.05660377358490566
Squamous Epithelial Cell,0.3199999928474426,201,12,3,0.9436619718309859,0.9852941176470589,0.9640287769784172,0.9305555555555556,0.22641509433962265,0.05660377358490566
Squamous Epithelial Cell,0.33000001311302185,201,11,3,0.9481132075471698,0.9852941176470589,0.9663461538461537,0.9348837209302325,0.20754716981132076,0.05660377358490566
Squamous Epithelial Cell,0.3400000035762787,201,11,3,0.9481132075471698,0.9852941176470589,0.9663461538461537,0.9348837209302325,0.20754716981132076,0.05660377358490566
Squamous Epithelial Cell,0.3499999940395355,201,10,3,0.95260663507109,0.9852941176470589,0.9686746987951808,0.9392523364485982,0.18867924528301888,0.05660377358490566
Squamous Epithelial Cell,0.36000001430511475,201,10,3,0.95260663507109,0.9852941176470589,0.9686746987951808,0.9392523364485982,0.18867924528301888,0.05660377358490566
Squamous Epithelial Cell,0.3700000047683716,200,10,4,0.9523809523809523,0.9803921568627451,0.966183574879227,0.9345794392523364,0.18867924528301888,0.07547169811320754
Squamous Epithelial Cell,0.3799999952316284,198,9,6,0.9565217391304348,0.9705882352941176,0.9635036496350365,0.9295774647887324,0.16981132075471697,0.11320754716981132
Squamous Epithelial Cell,0.38999998569488525,198,9,6,0.9565217391304348,0.9705882352941176,0.9635036496350365,0.9295774647887324,0.16981132075471697,0.11320754716981132
Squamous Epithelial Cell,0.4000000059604645,197,9,7,0.9563106796116505,0.9656862745098039,0.9609756097560976,0.9248826291079812,0.16981132075471697,0.1320754716981132
Squamous Epithelial Cell,0.4099999964237213,196,9,8,0.9560975609756097,0.9607843137254902,0.9584352078239609,0.92018779342723,0.16981132075471697,0.1509433962264151
Squamous Epithelial Cell,0.41999998688697815,195,8,9,0.9605911330049262,0.9558823529411765,0.9582309582309583,0.9198113207547169,0.1509433962264151,0.16981132075471697
Squamous Epithelial Cell,0.4300000071525574,195,8,9,0.9605911330049262,0.9558823529411765,0.9582309582309583,0.9198113207547169,0.1509433962264151,0.16981132075471697
Squamous Epithelial Cell,0.4399999976158142,195,7,9,0.9653465346534653,0.9558823529411765,0.960591133004926,0.9241706161137441,0.1320754716981132,0.16981132075471697
Squamous Epithelial Cell,0.44999998807907104,195,6,9,0.9701492537313433,0.9558823529411765,0.962962962962963,0.9285714285714286,0.11320754716981132,0.16981132075471697
